statistical distance,4
operational semantic,5
springer,1
point,1
reasoning,4
ﬁrst,1
probabilistic programming language,5
reward,1
apply,1
conditional expected reward,3
observe,4
coupon collector problem,3
denote,1
differentially private computation,3
expectation transformer,5
transition probability function,3
deﬁnition,1
show,1
original program,1
proof,1
proof rule,3
model,3
prove,1
section,1
function,1
veriﬁed indifferentiable hashing,2
present,1
deterministic program,3
assignment,1
upper bound,1
approximate differential privacy,4
probability,5
rule,1
markov decision process,5
sequential composition,1
weakest pre,1
transformer,3
randomized algorithm,5
probabilistic program,5
expression,1
hoare logic,5
deﬁne,1
notion,1
supn fn,1
variable,1
program state,3
statement,1
probabilistic,1
expected reward,4
expected,1
cid,1
approach,1
set,1
probabilistic computation,5
assume,1
obtained,1
language,1
program structure,1
ﬁxed point,3
semantic,5
programming language,5
recursive probabilistic program,3
probabilistic programming,5
conditional expected,1
dimensional random walk,1
program,1
markov chain,5
terminate,1
veriﬁcation,5
case,1
yield,1
order,1
relational hoare logic,5
initial state,1
state,3
random assignment,4
distribution,4
program variable,1
operational model,1
deﬁned,1
conservative extension,1
property,4
execution,4
bound,2
coq proof assistant,5
computer science,2
inﬁnite expected run,1
truncated geometric distribution,2
inﬁnite,1
differential privacy,5
work,1
characteristic functional,1
simple operational model,1
loop,1
acm press,1
probabilistic choice,4
program terminate,1
fair coin,1
deterministic choice,1
ﬁxed point technique,1
expected runtime,5
denotation,4
proof rule,5
weakest pre-condition,5
program termination,5